,Type,Date,Open,High,Low,Close,Volume
16888,Polkadot USD,2022-03-31,22.460417,22.999462,21.183681,21.302511,1190050413.0
16889,Polkadot USD,2022-04-01,21.309723,22.133127,20.722673,22.016987,1125808777.0
16890,Polkadot USD,2022-04-02,22.021664,23.767151,21.994867,22.644535,1394919294.0
16891,Polkadot USD,2022-04-03,22.614323,23.544905,22.581715,23.208246,1135251124.0
16892,Polkadot USD,2022-04-04,23.202627,23.204302,21.690126,22.65777,1108582879.0
16893,Polkadot USD,2022-04-05,22.695875,23.103945,21.781702,21.789715,954861206.0
16894,Polkadot USD,2022-04-06,21.786951,21.787008,19.782911,19.839634,1143523884.0
16895,Polkadot USD,2022-04-07,19.842571,20.624063,19.602262,20.426392,819238353.0
16896,Polkadot USD,2022-04-08,20.426464,20.562769,19.247072,19.400885,776611556.0
16897,Polkadot USD,2022-04-09,19.400578,19.807772,19.331331,19.787586,501767579.0
16898,Polkadot USD,2022-04-10,19.784966,20.202639,19.285307,19.285307,599807810.0
16899,Polkadot USD,2022-04-11,19.288813,19.288813,17.043089,17.188892,998107923.0
16900,Polkadot USD,2022-04-12,17.195461,18.001591,17.195461,17.785879,773573439.0
16901,Polkadot USD,2022-04-13,17.781279,18.26877,17.441982,18.1985,657673530.0
16902,Polkadot USD,2022-04-14,18.196878,18.471149,17.529968,17.930796,631848192.0
16903,Polkadot USD,2022-04-15,17.930698,18.380316,17.83194,18.350922,507063069.0
16904,Polkadot USD,2022-04-16,18.350451,18.682867,18.229382,18.630079,424249982.0
16905,Polkadot USD,2022-04-17,18.627596,18.799156,17.723122,17.780474,473113233.0
16906,Polkadot USD,2022-04-18,17.782038,18.308538,17.168648,18.169546,712879608.0
16907,Polkadot USD,2022-04-19,18.170162,18.931332,18.072601,18.896812,565507514.0
16908,Polkadot USD,2022-04-20,18.895794,19.493128,18.570221,19.088778,830807797.0
16909,Polkadot USD,2022-04-21,19.087486,19.625219,18.137659,18.185995,772305840.0
16910,Polkadot USD,2022-04-22,18.186062,18.519106,18.117331,18.299129,629068408.0
16911,Polkadot USD,2022-04-23,18.298918,19.232548,18.036877,18.732672,625753368.0
